Year,Physician,MinOneConfidence,MaxOneConfidence,MinTwoConfidence,MaxTwoConfidence
2000,50,50,50,50,50
2001,49,49,49,49,49
2002,48,48,48,48,48
2003,47,47,47,47,47
2004,46,46,46,46,46
2005,45,45,45,45,45
2006,44,44,44,44,44
2007,43,43,43,43,43
2008,42,42,42,42,42
2009,41,41,41,41,41
2010,40,40,40,40,40
2011,39,39,39,39,39
2012,38,38,38,38,38
2013,37,37,37,37,37
2014,36,36,36,36,36
2015,35,35,35,35,35
2016,34,34,34,34,34
2017,33,31,35,29,37
2018,32,30,34,28,36
2019,31,29,33,27,35
2020,30,28,32,26,34
2021,29,27,31,25,33
2022,28,26,30,24,32
2023,27,25,29,23,31
2024,26,24,28,22,30
2025,25,23,27,21,29
2026,24,22,26,20,28
2027,23,21,25,19,27
2028,22,20,24,18,26
2029,21,19,23,17,25
2030,20,18,22,16,24
2031,19,17,21,15,23
2032,18,16,20,14,22
2033,17,15,19,13,21
2034,16,14,18,12,20
2035,15,13,17,11,19
2036,14,12,16,10,18
2037,13,11,15,9,17
2038,12,10,14,8,16
2039,11,9,13,7,15
2040,10,8,12,6,14
